movie_title,release_date,total_gross,inflation_adjusted_gross,release_year,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Musical,genre_Other,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western,mpaa_rating_G,mpaa_rating_Not Rated,mpaa_rating_PG,mpaa_rating_PG-13,mpaa_rating_R
Homeward Bound: The Incredible Journey,1993-02-03,41833324,85182343,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Cemetery Club,1993-02-03,5583621,11369541,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Swing Kids,1993-03-05,5632086,11468231,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A Far Off Place,1993-03-12,12890752,26248558,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Born Yesterday,1993-03-26,17760754,36165012,1993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
The Adventures of Huck Finn,1993-04-02,24103594,49080505,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bound by Honor,1993-04-16,4496583,9156084,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Indian Summer,1993-04-23,14717851,29968953,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Super Mario Bros.,1993-05-28,20844907,42445058,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Guilty as Sin,1993-06-04,22622537,46064723,1993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Life With Mikey,1993-06-04,12349549,25146538,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
What's Love Got to Do With It,1993-06-09,39100956,79618610,1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Son in Law,1993-07-02,25989889,52921433,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hocus Pocus,1993-07-16,39360491,80147079,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Another Stakeout,1993-07-23,20107504,40943541,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
My Boyfriend's Back,1993-08-06,3218882,6554384,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Father Hood,1993-08-27,3268203,6654819,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
The Joy Luck Club,1993-09-08,32790064,66768171,1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Money for Nothing,1993-09-10,1044824,2127496,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Program,1993-09-24,23042200,46919256,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cool Runnings,1993-10-01,68856263,140392731,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Nightmare Before Christmas,1993-10-13,50408318,100026637,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
The Three Musketeers,1993-11-12,53661805,109310377,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sister Act 2 Back in the Habit,1993-12-10,57319029,116965668,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tombstone,1993-12-25,56505065,115781734,1993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The Air Up There,1994-01-07,20782439,42940186,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cabin Boy,1994-01-07,3469493,7168577,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Iron Will,1994-01-14,20623071,42610902,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Red Rock West,1994-01-28,2502551,5170709,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
